,,,,
,CHAMPBELL DUTY FREE SHOP,8922801092153871749F,,
,MABELLE DESIGN BE,8922801042388861569F,,
,MABELLE DESIGN AGOE ,8922801092153871665F,,
,MABELLE DESIGN NYEKONAKPOE,8922801102391099654F,,
,MORIJA ROOM CLUB,8922801042388878589F,,
,CLINIQUE LA HARPE DE DAVID,8922801052024923285F,,
,HOLLY SHOP,8922801052026928985F,,
,BLESSING BODY,8922801092156701547F,,
,STANDARD FOODS TOTSI,8922801052024923277F,,
,STANDARD FOODS RPP,8922801092153871673F,,
,STANDARD FOODS ASSIVITO,8922801092153871707F,,
,STANDARD FOODS TOTAL BTCI,8922801092153871525F,,
,STANDARD FOODS KLIKAME,8922801092153871699F,,
,STANDARD FOODS AVEDJI,8922801092156701653F,,
,Hôtel ROYAUME FAUSTINA,8922801092156701539F,,
,JAH,8922801092156700838F,,
,7 SPICE,8922801092156701745F,,
,NUNANA GIFTS,8922801092156701729,,
,CERCLE DES ETOILES,8922801092156701711F,,
,CARMEL SEPOPO,8922801092156701737F,,
,LE CERCLE DEKON,8922801092156701752F,,
,CHAMPION AGBALEPEDO,8922801092156701687F,,
,CHAMPION AGBALEPEDO,8922801092156701703F,,
,CHAMPION AGBALEPEDO,8922801092156701695F,,
,PHARMACIE HYGEA,8922801092156701596f,,
,GMK,8922801092156701497F,,
,MONTECRISTO DISCOTHEQUE,8922801092156701570F,,
,MONTECRISTO DISCOTHEQUE,8922801092156701588F,,
,ARNOLDI ESPACE TOKOIN SOTED,8922801092156701554F,,
,RAMCO SA LG SHOPPE MILLENIUM,8922801092156701018F,,
,RAMCO SA DESI ROOF,8922801092156701307F,,
,RAMCO SA MAHARAJA,8922801092156701307F,,
,NGT ASSIGAME,8922801092156701455F,,
,NGN AEROPORT,8922801092156701034F,,
,HOTEL MALAIKA,8922801052024923434F,,
,NOUFALY SARL,8922801092156700952F,,
,K-WOLD BOUTIQUE,8922801092156701141F,,
,GROUPE RESEAU SOLEIL,8922801092156701364F,,
,PHARMACIE APOLLON,8922801092156701356F,,
,UNI COS ADIDOADIN,8922801092156700812F,,
,UNI-COS ADAKPAME,8922801092156701661F,,
,UNI-COS BE,8922801092156700903F,,
,UNICOS AVEPOZO,8922801092156701349F,,
,UNICOS WONYOME,8922801092156700911F,,
,UNI-COS HEDZRANAWOE,8922801092156701315F,,
,PHARMACIE SAINTE MARIE,8922801092156701323F,,
,AZ TEXTILE,8922801092156700895F,,
,EXPRESSIA HOLDING,8922801092156700994F,,
,STE AMBO SARL,8922801092156701463F,,
,CABINET MEDICAL ELITE,8922801092156701109F,,
,MDEY,8922801092156753647F,,
,CABINET DENTAIRE LE SOURIRE,8922801052024864232f,,
,SILA GROUP,8922801092156754702,,
,BLACK FASHION HANOUKOPE,8922801092156701232F,,
,LA PETITE EPICERIE,8922801092156701299F,,
,LA HUQQA,8922801092156700853F,,
,ATIKO TRAVELS,8922801092156701133F,,
,CELI FASHION,8922801002391099563F,,
,CHAMPION KARA,8922801042388878266F,,
,CHAMPION KARA,8922801042388878142F,,
,ATIKO TRAVELS AVEDJI,8922801092156700770F,,
,CLINIQUE ISIS,8922801102391099464F,,
,AURICA TRAVEL SERVICES,8922801092156701505F,,
,DEARS,8922801092156700762F,,
,HOTEL YABISSO,8922801092156701448F,,
,CHILDRENS PLACE BY KATOUCHA,8922801092156701067F,,
,MAISON DES JOUETS,8922801092156701372F,,
,HARMONIE CONCEPT,8922801092156700978F,,
,GALERIE COIN DU TRESOR,8922801092156700820,,
,GALERIE CONFORTIUM,8922801042390706695F,,
,LAT SHOP,8922801092156701380F,,
,CHIC AHMED,8922801092156701331F,,
,AUREL K ,8922801092156701059,,
,MR SHISHA,8922801092156701406F,,
,BUENA VISTA,8922801052026928720,,
,ECOFARM,8922801092156701083F,,
,OMED VOYAGE,8922801092156753811F,,
,CLUB 21,8922801052026928811f,,
,HOUSE OF J J HANOUKOPE,8922801052026928670F,,
,HOUSE OF J J AGBALEPEDO,8922801052026928746F,,
,WSM FASHION,8922801052024923426F,,
,SIGNATURE BAR RESTAURANT,8922801052026929108F,,
,IRON MAN SUPPLEMENTS,8922801052026929124F,,
,FASHION PREMIUM,8922801092156753803F,,
,FELTON SHOP,8922801052026928787F,,
,ARTNEGRA 2 FEVRIER,8922801052026928878F,,
,BAMBINI,8922801092156755147F,,
,JOYCE KA,8922801052026928928F,,
,ETS COFITEL,8922801041458905207,,
,CHANAN SEGBE,8922801092156754884F,,
,DORIGINE PARFUMERIE,8922801092153871756F,,
,INSTITUT AMEN DESIGN,8922801092156754744F,,
,MAGNILIM,8922801052024923263F,,
,BURGER FABRIC,8922801052026928910F,,
,LES TONTONS SARL 1,8922801052142363752F,,
,OMNICEL,8922801092156753779f,,
,AC-D,8922801092156754900F,,
,CLINIQUE PENIEL,8922801092156753753F,,
,ETS BJ,8922801092156755162F,,
,ENERGIUM (BJ MISERICORDIA),8922801092156754892F,,
,ETS ALBARKA ONE,8922801092156753621F,,
,KIDS HOUSE BY DYANA GBOSSIME,8922801092156753787F,,
,QLS PHARM-A-PEAU,8922801092156753456F,,
,TOP PHONE,8922801092156753563F,,
,CLE-AM EN DIEU,8922801092156753712F,,
,GYMBOREE,8922801092156753704F,,
,REIMAIS,8922801092156753654F,,
,PHARMACIE CONSEILS SAGBADO,8922801092156753506F,,
,OORA AVEDJI,8922801092156753399F,,
,EVER QUEENS HAIR ETS,8922801092156755139F,,
,L'ESCALE AFRICAINE,8922801092156754686F,,
,MELS ET FRERES,8922801092156754942F,,
,CARMEN DANSE,8922801042388861577F,,
,AUX GRANDS SHOES DE GLO,8922801092156754710F,,
,KIDS PLANET,8922801092156754728F,,
,ELECTRO WORLD,8922801092156754642F,,
,MORIJA SEDINA,8922801092156754835f,,
,LA DIFFERENCE EST LELEGANCE,8922801092156754637F,,
,SKYLARK,8922801052024923111F,,
,NOMADS,8922801092156754949F,,
,AZIZ SHOP SPORT CAMPING,8922801092156755097F,,
,AMERICAN OUTLET,8922801092156754876,,
,ELECTRO-WORLD TOKOIN,8922801092156755170F,,
,CLINIQUE SUR LE ROC,8922801092156753670F,,
,CARL-MAX,8922801092156753522F,,
,ATFA,8922801092156755055,,
,NAIMS,8922801092156755014F,,
,DIEU EST AMOUR,8922801092156753597F,,
,CAFE LOFT,8922801102391099498F,,
,BEFORE AND AFTER,8922801092156753514F,,
,BULLE DE SIKA,8922801042388861536F,,
,COCO,8922801092156754868F,,
,COMPUTER PLUS,8922801092156753688F,,
,LA TOUR DES ANGES,8922801092156755030F,,
,BLUE TURTLE CANARIE BAR,8922801092156753472F,,
,UNIVERS DES MARIES,8922801092156753548F,,
,SRAMCO MARINA,8922801092156753662F,,
,INDIGO ETS,8922801092156754678F,,
,EPIC,8922801092156754819f,,
,RO SHOP,8922801092156754751F,,
,LEA SHOP,8922801092156754785F,,
,JAUDIMAD CENTER,8922801092156754975F,,
,THE CARTEL,8922801092156755105F,,
,GAUDETE,8922801092156755113F,,
,MISS RAY,8922801092156754777F,,
,PHARMACIE ALTA AGOE ,8922801092156753571F,,
,MINOU,8922801092156754967F,,
,LEOPOLD TSABA,8922801092156754611F,,
,PATRICK COLLECTION,8922801092156754769F,,
,RAMCO ADIDOGOME,8922801092156754793,,
,ETS MY SUN,8922801042390706653F,,
,LA NOBLESSE,8922801042390706844F,,
,CHEVAL BLANC IMMOBILIER,8922801042390706679F,,
,MAISON DES BIJOUX,8922801042390706562F,,
,ETS SYLCHRIST MAWUPEMON,8922801042390706729f,,
,TOKUMBO,8922801042390707107F,,
,BAUTY-FULL BAGUIDA,8922801042390706851F,,
,BEAUTY-FULL CASSABLANCA,8922801042390706877F,,
,LOLO ANDOCHE 2 FEVRIER,8922801042390706919F,,
,LOLO ANDOCHE ASSIVITO,8922801092156701463F,,
,SOMMET DE LA PYRAMIDE,8922801042390706943F,,
,MKG RELOOKING AKODESSEWA,8922801042390706604F,,
,MKG RELOOKING GBLEKOME,8922801042390707099F,,
,ROYAL Hôtel,8922801042390706737F,,
,K B COSMETIC ET SPA EM,8922801042388861379F,,
,GOD KNOW EXPRESS,8922801042388861411F,,
,MADIBA,8922801042390706620F,,
,MOUNA BOUTIQUE,8922801042390706760F,,
,BSK AUTOMOBILE,8922801042390706612F,,
,DYS FASHION,8922801042390706802F,,
,FLAV-OURS CASSABLANCA,8922801042390707467F,,
,DSKA E AGOE ,8922801092156754991F,,
,SRAMCO MARINA,8922801092156755154F,,
,MESA VERDE ,8922801042388861601F,,
,CO-TO AUTO,8922801042390706588F,,
,PERLE  HAIR AGOE,8922801042390706570F,,
,CELESKA,8922801042390706901F,,
,AUTHENTIQUE MILLIARDAIRE,8922801042390706778F,,
,MICALEX OPTIQUE,8922801042390706810,,
,NGT ZANGERA,8922801042390706950F,,
,NGT SEGBE,8922801042390706711F,,
,HOTEL ALEHERI,8922801042390706885F,,
,MAMOU-FOOD,8922801042390707065F,,
,SAPOLOGIE SHOP,8922801042390706968F,,
,SO CHIC,8922801042390706687F,,
,KRATOS ENERGY,8922801042390706703F,,
,ELIYSHA VOYAGE,8922801042390706901F,,
,N'NA CREA,8922801042390707081F,,
,PHARMACIE SANTA MADONNA,8922801042390706703F,,
,AMEPROFA ET FILS,8922801042390707032F,,
,MAISON DES CARREAUX 1,8922801042390706927f,,
,HARIEL VEGA 1,8922801042390706752F,,
,MAD COMPLEXE,8922801042390706976F,,
,LE PLAISIR DU GOUT,8922801042390706786F,,
,GIFT ROOM LONATO,8922804042390706794F,,
,GIFT ROOM BSIC,8922801042390706661F,,
,CHAMPION MARINA 2,8922801052026928779F,,
,CHAMPION MARINA 1,8922801092156701224F,,
,ELIYSHA VOYAGE KARA,8922801042388878589F,,
,ELIYSHA VOYAGE ATAKPAME,8922801042388878530F,,
,HOTEL SPLENDIDE,8922801042388861403F,,
,PARITEX ETS ,8922801092156701174F,,
,MAISON DES YEUX,8922801042388861429F,,
,ADAWI DJIDJOLE ,8922801042388861544F,,
,ADAWI WUITI,8922801042388861510F,,
,DJK PRESTATION,8922801042388861437F,,
,MAD COMPLEXE 1,8922801092156701398F,,
,CLINIQUE CONTINENTALE,8922801042388861728F,,
,YEDOUBOUAME,8922801042388861718F,,
,CAVE DU BOURGEOIES,8922801042388861759F,,
,LE CROUSTILLANT DE LA CAISSE,8922801042388861767F,,
,CAM,8922801042388861734F,,
,ALTESSE EMPIRE,8922801042388861700F,,
,OLLY SARL,8922801042388861742F,,
,MORIA XPERIENCE,8922801042388861692F,,
,LIBRAIRIE GIONITTO,8922801042388861320F,,
,TONY'S MARKET,8922801042388861346F,,
,ALINETTE CREATION,8922801042388861676F,,
,ROBISON PLAGE,8922801042388861296F,,
,DISTINCTION BY ABS 2 FEVRIER,8922801042388861270F,,
,HARMONY ANDY SHOP (ANDY'S HAIR AVEDJI),8922801042388861304F,,
,PHARMACIE KOBOYO,8922801042388861635F,,
,NAPOLI SHISHA CLUB,8922801042388861643F,,
,ANTHONY LOGISTIQUE SARL U,8922801042388861585F,,
,B&K ENTERPRISES SARL,8922801042388861502F,,
,B&K ENTERPRISES SARL 2,8922801042388878217F,,
,ETS BIJOUTERIE GREAT EBENEZER,8922801042388861288F,,
,THE AVENUE IMPORT-EXPORT,8922801042388861668F,,
,ARTNEGRA KODJOVIAKOPE,8922801042388861627F,,
,H-EHAM 1,8922801052142363349F,,
,H-EHAM 2,8922801052142363265F,,
,H-EHAM 3,8922801052142363216F,,
,LA BRUSCHETTA,8922801092156753761F,,
,MIADJOE,8922801092156701265F,,
,OVER THESKY TRAVEL& TOURS,8922801042388861486F,,
,LALA DRESSING,8922801042390706943F,,
,QUEEN & TOUPOU,8922801042388861452F,,
,MAJESTIC LIFE STYLE,8922801052142363513F,,
,GAGNON NOUDODAN,8922801042388861494f,,
,TECHNO-CLASS,8922801042388861593F,,
,SENA SARL,8922801042388861361F,,
,LES DELICES DE MIYANA,8922801042388861387F,,
,FIHIDE MARKET,8922801042388861619F,,
,STAM,8922801092156701653F,,
,GOD GIVES GRACE,8922801042388878597F,,
,5TH AVANUE ,8922801042388878209F,,
,RAYVI SHOP,8922801042388878159F,,
,SMOOTH COMPUTER,8922801042388878381F,,
,LA PLANQUE,8922801042388878316F,,
,CMS SANTE ROYALE,8922801042388878340F,,
,MA VOIE C'EST JESUS,8922801042388878258F,,
,CCVS,8922801042388878233F,,
,CCVS,8922801042388878423F,,
,EDEN PREMIUM,8922801042388878233F,,
,FUN SPIRIT SARL (ZANZIBAR) 1,8922801102391099340F,,
,FUN SPIRIT SARL (ZANZIBAR) 2,8922801042388878308F,,
,FUN SPIRIT SARL (ZANZIBAR) 3,8922801042390723443F,,
,WAHEGURU TRAVELS,8922801042388878605F,,
,LI 'SWEET,8922801042388878472F,,
,LA MAISON DU BOUBOU,8922801042388878415F,,
,PISCHON HAVILA,8922801042390706976F,,
,OLUXURY CAR RENTAL SARL U,8922801052026928720F,,
,GARAGE SPARK,8922801042388878522F,,
,HOTEL AHODIKPE KING SALOMON GARDEN SARL U,8922801092156700846F,,
,CRECHE BABY RECRE SARL U (ROSA PARKS),8922801042388878126F,,
,LE COMPTOIR DU GOURMET 1,8922801042390706885F,,
,LE COMPTOIR DU GOURMET 2,8922801042388878191F,,
,INTERCOM MOBILE TOGO 2000,8922801042388878373F,,
,INTERCOM MOBILE AGBAVI,8922801042388878175F,,
,GRACE LUTHAZ,8922801042388878183F,,
,TOGO COIFFURE CHEZ RO,8922801042388878167F,,
,WA STYLE,8922801042388878431F,,
,LE MALL DE 1000F,8922801042388878449F,,
,LA TOUR SARL,8922801042388878183F,,
,ETS DOING BETTER BUSINESS,8922801042388878357F,,
,GLOBUS INTERNATIONAL,8922801042388878365F,,
,EDORH AND CO,8922801042390723674F,,
,ALOFA TASSAD,8922801042390723666F,,
,JARDIN D'ELIZ SARL U,8922801042390723310F,,
,DIMANE MOUKPE,8922801042390723278F,,
,DREAMHOUSE ADIDOGOME,8922801042390723336F,,
,DREAMHOUSE DJIDJOLE,8922801042390723286F,,
,ABOLADE,8922801042390723377F,,
,FULLNESS,8922801042390723328F,,
,KELI ESTHETIQUES,8922801042390723369F,,
,BLACK FASHION SEMINAIRE,8922801042390723393F,,
,RACINE BOIS,8922801042390723294F,,
,YES GLOBAL TOGO,8922801042390723351F,,
,LE RECORD,8922801042390723344F,,
,SUPERETTE JEAN AZAR,8922801042390723302F,,
,DAKOF STORE,8922801042390723252F,,
,RESTAURANT LE PECHEUR SARL U,8922801042390723468F,,
,TACHA-LAND SARL U,8922801042390723617F,,
,DREAMHOUSE LEO 2000,8922801042390723625F,,
,EDIMESS PLAGE,8922801042390723609F,,
,HAM OLYMPIANOS,8922801042390723450F,,
,GBEFRAD,8922801042390723385F,,
,EDEN PREMIUM PARFUMERIE,8922801042390723633F,,
,RACH COIFFURE,8922801042390723641F,,
,LA CROUTE DOREE,8922801042390723583F,,
,CHINA MALL 1,8922801092156754678F,,
,CHINA MALL 2,8922801042590723476F,,
,CHINA MALL 3,8922801092156754678F,,
,CHINA MALL 4,8922801042390723500F,,
,CHINA MALL 5,8922801042390723492F,,
,CHINA MALL 6,8922801042390723526F,,
,NORA CONCEPT STORE,8922801042390723518F,,
,MAISON D'HOTES LE KENTIA SARL U,8922801092156754819F,,
,PHARMACIE MAELYS,8922801042390723427F,,
,CFAO MOTORS,8922801042390723443F,,
,GODSAM,8922801042388861437F,,
,LOS AMIGOS (STE LA TERRAZZA),8922801102391099704F,,
,SHISHA RESTO,8922801092156701240F,,
,RT LE RESTAURANT,8922801052142363729F,,
,GLOBAL YASMA,8922801042390706893F,,
,ORITHANE,8922801042390723575F,,
,PLAISIRS D'ITALIE SHOP (PIS),8922801092156700911F,,
,LE WATT AGOE,8922801042388878613F,,
,ENAM TECHNOLOGIES,8922801042388878498F,,
,LE CROUSTILLANT BOULEVARD,8922801042388878316F,,
,LE CROUSTILLANT HEDRZANAWOE,8922801042390723724F,,
,KABIVAN AFRICA,8922801042390723716F,,
,ETINCELLES CHOCOLATS,8922801042390723559F,,
,GAB MFA,8922801042390723732F,,
,HOTEL SAFARI,8922801092156753415F,,
,MELLE PLUS,8922801042388878274F,,
,GARAGE BARROUCH,8922801042388878514F,,
,CARMASTER,8922801042390723682F,,
,G SERV AUTO,8922801092156700887F,,
,SHALOM WE CAN,8922801042388878506F,,
,PRESTIGES PHONES,8922801042390723690F,,
,REHOBOTH VOYAGES,8922801042390723260F,,
,DM ELEGANCE,8922801042388878225F,,
,MAN-BC,8922801042388878290F,,
,MARVAN (LA CANTINE),8922801102391099407F,,
,ODIL SHOP,8922801102391099431F,,
,TANTOLORUN (LANYON BOUTIQUE),8922801102391099217F,,
,PHK ACCESSORIES,8922801102391099456F,,
,PRONTO MOBILE,8922801102391099399F,,
,NANAEL,8922801102391099423F,,
,IMPERIAL BUSINESS SERVICE,8922801102391099357F,,
,ITECH STORE,8922801042390723658F,,
,NANEU SHOP,8922801102391099449F,,
,IN SALON,8922801102391099639F,,
,HAZIEL JEFF,8922801102391099597F,,
,A. K. LA COURONNE,8922801102391099592F,,
,MASSAGELLENCE BY BDM,8922801102391099589F,,
,DREAM DE M'BE NOVISSI,8922801102391099605F,,
,DREAM DE M'BE DJIDJOLE,8922801102391099613F,,
,SPEED TECH TOGO,8922801102391099647F,,
,PHARMACIE KELEGOUGAN,8922801102391099688F,,
,CHANGE THE NATIONS,8922801102391099696F,,
,WESTWIND ETS (LE GLAZE),8922801102391099662F,,
,RESTAURANT O'THAI (H-EHAM),8922801002391099670F,,
,LE HANGAR 1,8922801102391099555F,,
,LE HANGAR 2,8922801102391099514F,,
,MAISON DES LIQUEURS,8922801102391099530F,,
,AGRO-SAN'NTA,8922801102391099571F,,
,CERVEAU STORE,8922801102391099548F,,
,IDS TECHNOLOGIE,8922801102391099522F,,
,LILOUS,8922801102391099282F,,
,OXYGEN 228,8922801102391099266F,,
,CHACHA COIFFURE,8922801102391099241F,,
,SARMATE (LA PLAGE DE CESAR),8922801102391099365F,,
,MARIE G. D. DORCAS,8922801102391099258F,,
,CHIC PRESSING,8922801102391099373F,,
,ACHETIA GROUP,8922801102391099225F,,
,MAMELY,8922801052142363232F,,
,AGENCE MALIKHA TRAVEL,8922801102391099233F,,
,BEAUTE POUR TOUS,8922801102391099308F,,
,AFRICAN BUSINESS CORPORATION SARL (A.B.CO),8922801102391099381F,,
,EMYA CARE,8922801102391099316F,,
,BEACHSIDE BOUTIQUE,8922801102391099324F,,
,SHUT LINGERIE,8922801102391099274F,,
,ETS RK SUPER MARKET,8922801102391099332F,,
,LE VINICI (CAVE A VIN),8922801102391099290F,,